T;allocated heap
46560;5929776
46620;4895552
46680;5616560
46740;6748664
46800;5587208
46860;5514016
46920;5640800
46980;7544864
47040;4729568
47100;5895800
47160;6275504
47220;6035456
47280;6374128
47340;4646312
47400;5873440
47460;5184344
47520;5892576
47580;6029152
47640;5481704
47700;4769160
47760;7191032
47820;5755904
47880;5761240
47940;5254560
48000;6430264
48060;6264504
48120;6108744
48180;5277560
48240;7828224
48300;5465248
48360;6750352
48420;6815960
48480;6899232
48540;5944960
48600;5652880
48660;6298664
48720;6928656
48780;6386616
48840;5237968
48900;7312344
48960;6262736
49020;6296096
49080;5248040
49140;6994928
49200;5244488
49260;7364752
49320;5048728
49380;6961104
49440;5794912
49500;5962912
49560;5838288
49620;6325568
49680;5277864
49740;7516912
49800;5340408
49860;6048440
49920;5488720
49980;5511376
50040;5563128
50100;6204872
50160;6702248
50220;7028016
50280;6807656
50340;7119672
50400;4989424
50460;7805256
50520;5716416
50580;6592640
50640;5670256
50700;5731136
50760;6743928
50820;5874256
50880;7477152
50940;7373392
51000;6644408
51060;5840920
51120;6224472
51180;6181488
51240;5038776
51300;6492376
51360;6124104
51420;5755544
51480;6509800
51540;7133608
51600;6728888
51660;6296560
51720;6039896
51780;6572728
51840;5579736
51900;6703800
51960;5477296
52020;5857552
52080;5621024
52140;7690776
52200;5783760
52260;6450088
52320;5785464
52380;6027584
52440;5752480
52500;5877464
52560;6209776
52620;6473832
52680;6200128
52740;5773704
52800;6324064
52860;5892016
52920;5296440
52980;6728488
53040;5828632
53100;6530824
53160;6297432
53220;5499968
53280;5195160
53340;6077760
53400;5695232
53460;5883872
53520;6095016
53580;5717768
53640;6728888
53700;5468688
53760;5637960
53820;5882728
53880;5553144
53940;6302248
54000;5865752
54060;6280408
54120;5066288
54180;6302368
54240;5864840
54300;6057616
54360;5743792
54420;5938648
54480;6247864
54540;4577808
54600;5926824
54660;5696392
54720;5378264
54780;5621848
54840;7510160
54900;6830144
54960;7793968
55020;6271992
55080;6572584
55140;7525616
55200;5224936
55260;6281856
55320;6258136
55380;6069056
55440;6197848
55500;6359800
55560;5805448
55620;6151448
55680;6548496
55740;6626768
55800;6099440
55860;6292008
55920;6763104
55980;6389576
56040;5916000
56100;5896904
56160;6920360
56220;6629960
56280;6377872
56340;6185440
56400;6680256
56460;6810568
56520;4767576
56580;4820440
56640;6258112
56700;7019320
56760;6025552
56820;7055472
56880;6195456
56940;5711504
57000;6605344
57060;6809800
57120;6400976
57180;6944680
57240;7103424
57300;5624296
57360;6040840
57420;6276240
57480;5670144
57540;6021656
57600;7774216
