r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
4,0,0,1818284,40088,1105716,0,0,0,0,11832,549,1,51,48,0,0,"-0,486413511","-0,338290681","-0,389326682","-0,052274869","-0,182195311","-0,264334994","-0,303101814"
5,0,0,1816940,40088,1105716,0,0,0,0,11760,555,1,51,49,0,0,"-0,534917858","-0,405504596","-0,566681271","0,4050272495","0,0695194834","-0,260800109","-0,219902525"
5,0,0,1816940,40088,1105716,0,0,0,4,11314,536,2,51,48,0,0,"-0,4587913","-0,285965562","-0,456444083","0,5268759749","-0,179960627","-0,323999647","-0,159614772"
4,0,0,1816940,40096,1105716,0,0,0,20,11424,542,1,51,49,0,0,"-0,410039292","-0,403346675","-0,350011251","-0,071790116","-0,187608452","-0,241274214","-0,345055354"
4,0,0,1816940,40096,1105716,0,0,0,4,12225,543,1,51,49,0,0,"-0,554791138","-0,423968017","-0,375275718","-0,054601154","-0,136920747","-0,215014803","-0,283760412"
3,0,0,1815352,40096,1105728,0,0,0,0,8554,772,1,53,46,0,0,"0,2135385752","0,4519845588","0,0841862469","-0,631440301","-0,071109457","-0,82791081","-0,791194062"
3,0,0,1815352,40096,1105728,0,0,0,0,11303,528,1,50,49,0,0,"-0,34076577","-0,450280786","-0,16350912","-0,576256541","-0,407214385","-0,344757352","-0,375288298"
3,0,0,1815352,40096,1105728,0,0,0,152,12003,538,1,51,48,0,0,"-0,34590456","-0,438209053","-0,003558187","-0,377124009","-0,461808524","0,1087984063","-0,735575101"
3,0,0,1815352,40104,1105728,0,0,0,60,12499,549,1,51,49,0,0,"-0,493249933","-0,43707215","-0,08886465","-0,46995212","-0,327034458","-0,090514434","-0,502990615"
4,0,0,1815352,40104,1105728,0,0,0,0,12118,533,1,51,49,0,0,"-0,562375551","-0,427670756","-0,379231629","-0,070338607","-0,159935193","-0,207074637","-0,257440599"
4,0,0,1815352,40104,1105728,0,0,0,8,11556,545,1,51,48,0,0,"-0,463129711","-0,327829826","-0,35320689","-0,068067857","-0,195695127","-0,24090784","-0,308262655"
2,0,0,1815728,40104,1105728,0,0,0,0,8693,661,2,51,47,0,0,"0,2428464619","0,1646913443","0,3440578506","-1,004414795","-0,618231754","-0,817986854","-0,64958422"
3,0,0,1815728,40104,1105728,0,0,0,0,12579,545,1,51,48,0,0,"-0,569261982","-0,344919634","-0,178161995","-0,511424972","-0,344014695","-0,208317556","-0,353531284"
4,0,0,1815728,40112,1105728,0,0,0,32,12523,555,1,51,49,0,0,"-0,585248212","-0,42722263","-0,295907429","-0,021452045","-0,086430881","-0,12067106","-0,331204231"
4,0,0,1815728,40112,1105728,0,0,0,0,11591,547,1,51,49,0,0,"-0,466407022","-0,38025046","-0,341038428","-0,094054224","-0,142821461","-0,261729995","-0,275350182"
4,0,0,1815728,40112,1105732,0,0,0,0,11929,548,2,50,48,0,0,"-0,48564937","-0,322656527","-0,176022298","0,0620052726","-0,276962687","-0,335812579","-0,192714667"
