r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
4,0,0,1790944,38604,1149584,0,0,0,4,9410,519,0,51,49,0,0,"0,6293334926","-0,403485434","-0,121307323","-0,112113756","0,1033101162","-0,065895027","-0,29020482"
2,0,0,1782092,38612,1149584,0,0,0,16,6968,579,0,52,48,0,0,"0,1131032781","-0,185833842","-0,759078142","-0,474101109","-0,023307372","0,0979707802","-0,9056304"
2,0,0,1782092,38612,1149584,0,0,0,0,9749,463,0,51,49,0,0,"0,3966723229","-0,499759216","-0,492710199","-0,388619332","0,1853876466","-0,02710368","-0,963227639"
2,0,0,1782092,38612,1149584,0,0,0,0,10083,484,1,51,49,0,0,"0,4072147201","-0,509275837","-0,458113479","-0,36665988","0,1854041344","0,0232029522","-0,946775796"
3,0,0,1782092,38612,1149584,0,0,0,0,10147,484,0,51,49,0,0,"0,5686953009","-0,494136081","-0,243263399","-0,228059638","0,1787450897","-0,041253182","-0,639355543"
2,0,0,1782092,38612,1149584,0,0,0,0,10149,481,0,51,49,0,0,"0,4432358194","-0,511789406","-0,459116042","-0,36770582","0,1925727266","0,0121997071","-0,960738865"
3,0,0,1782092,38620,1149576,0,0,0,32,9984,507,0,51,49,0,0,"0,550894342","-0,468298801","-0,267912799","-0,23022859","0,1548696145","-0,008480321","-0,622683302"
4,0,0,1782092,38620,1149576,0,0,0,0,10483,473,0,51,49,0,0,"0,7275134028","-0,508049282","0,0130840366","-0,077363116","0,1915478102","-0,10764643","-0,33093159"
4,0,0,1782092,38620,1149576,0,0,0,0,10505,476,0,51,49,0,0,"0,730485649","-0,507238313","0,0140984984","-0,075757369","0,1905281422","-0,102308868","-0,329758176"
5,0,0,1782092,38620,1149576,0,0,0,0,10536,492,0,51,49,0,0,"0,8621426338","-0,482140995","0,2279492802","0,0682236938","0,1691878177","-0,134325093","-0,002231395"
2,0,0,1781072,38620,1149584,0,0,0,0,7102,539,1,51,48,0,0,"0,0797230385","-0,262190271","-0,762651138","-0,473266044","0,0004499234","0,0351402374","-0,877756916"
2,0,0,1781072,38628,1149584,0,0,0,16,9164,349,1,51,49,0,0,"0,2776361275","-0,55127949","-0,495047375","-0,436195266","0,2353225023","-0,214411931","-0,999594411"
3,0,0,1781072,38628,1149584,0,0,0,4,9430,476,0,51,49,0,0,"0,4886393568","-0,455344376","-0,312716162","-0,260118387","0,1491417838","-0,073039116","-0,630878507"
2,0,0,1775472,38628,1149588,0,0,0,0,10305,504,0,51,49,0,0,"0,4586487581","-0,507297852","-0,448604704","-0,355961522","0,1861087102","0,0541952","-0,95042633"
2,0,0,1774868,38628,1149588,0,0,0,0,7181,463,0,51,49,0,0,"0,1148128817","-0,340614962","-0,751886533","-0,496732473","0,0600792142","-0,095294645","-0,918411028"
3,0,0,1774616,38628,1149588,0,0,0,4,9820,489,0,51,49,0,0,"0,5272406051","-0,472869278","-0,274141746","-0,24079132","0,1612831123","-0,040524464","-0,629724385"
2,0,0,1799996,38628,1149588,0,0,0,4,10123,532,0,51,49,0,0,"0,4665476447","-0,4661183","-0,493632202","-0,357213433","0,1500768935","0,0883450535","-0,936721839"
3,0,0,1796696,38636,1149588,0,0,0,16,7459,515,0,51,49,0,0,"0,2976593939","-0,297034887","-0,540098548","-0,334344177","0,0193303299","-0,067971159","-0,579125908"
3,0,0,1796696,38636,1149588,0,0,0,8,10223,483,0,51,49,0,0,"0,5886726716","-0,494413119","-0,243541827","-0,225140691","0,1789539061","-0,043685401","-0,643082168"
4,0,0,1796696,38636,1149588,0,0,0,0,10376,482,0,51,49,0,0,"0,7311854653","-0,489139908","-0,010525924","-0,07974788","0,1755339725","-0,099463483","-0,326904665"
4,0,0,1796696,38636,1149588,0,0,0,0,10765,472,1,50,49,0,0,"0,7296966207","-0,559849101","-0,00017538","-0,061636613","0,190730406","-0,107757836","-0,28704012"
4,0,0,1796696,38636,1149588,0,0,0,0,10175,486,0,51,49,0,0,"0,7104563671","-0,473537297","-0,032814606","-0,087300676","0,1627410396","-0,098601842","-0,321428137"
3,0,0,1796696,38644,1149580,0,0,0,40,10428,494,1,50,49,0,0,"0,5667224273","-0,539426396","-0,259167043","-0,210535418","0,1706402666","-0,022937261","-0,587220092"
4,0,0,1796696,38644,1149580,0,0,0,0,10638,472,0,51,49,0,0,"0,7572151827","-0,512984424","0,0205101239","-0,070989595","0,1955761955","-0,108147604","-0,336510503"
5,0,0,1796696,38644,1149580,0,0,0,4,9780,487,0,51,49,0,0,"0,7927376315","-0,432734151","0,1437309272","0,035285566","0,1308621797","-0,165779064","0,0058546275"
5,0,0,1796696,38644,1149580,0,0,0,0,8803,544,0,52,48,0,0,"0,6936272859","-0,274961944","0,0859722412","0,0126807519","0,0529905014","-0,085471874","0,001110848"
5,0,0,1796696,38644,1149580,0,0,0,0,8034,492,0,51,49,0,0,"0,607214466","-0,318833461","-0,037752323","-0,036998478","0,0406231005","-0,205401762","0,0378318155"
5,0,0,1796696,38652,1149572,0,0,0,16,8686,476,0,51,49,0,0,"0,6713141974","-0,372306229","0,0366083539","-0,013445965","0,0844514478","-0,212546289","0,0195292114"
4,0,0,1786168,38652,1149592,0,0,0,0,8150,508,1,51,48,0,0,"0,4404943576","-0,318371203","-0,210735333","-0,158055694","0,0495356974","-0,102751345","-0,272786713"
3,0,0,1787584,38652,1149592,0,0,0,0,6782,490,0,52,48,0,0,"0,2075319614","-0,221244679","-0,528127224","-0,362757562","0,0166454832","-0,107449305","-0,63050111"
3,0,0,1787584,38652,1149592,0,0,0,4,9607,491,0,51,49,0,0,"0,5166178248","-0,453029877","-0,304733812","-0,249234055","0,1454224602","-0,045928598","-0,627233881"
2,0,0,1783776,38652,1149592,0,0,0,0,8839,495,0,51,49,0,0,"0,3072091409","-0,418301133","-0,600402466","-0,419654942","0,1171898886","-0,001617218","-0,931551307"
4,0,0,1770840,38660,1149592,0,0,0,28,7008,533,1,53,47,0,0,"0,3097678821","-0,145763714","-0,218467292","-0,196317468","0,0003644474","-0,062230421","-0,326970246"
4,0,0,1770840,38660,1149592,0,0,0,0,9753,476,0,51,49,0,0,"0,6396567297","-0,464119116","-0,056229011","-0,107460313","0,1565715891","-0,120321658","-0,315115416"
0,0,1770840,38660,1149592,0,0,0,4,10252,314,0,70,30,0,0,,"-8,949349995","-1,452114122","0,6433890617","-1,085624161","0,1684302363","0,5326760143","0,5237704036"
3,0,0,1785916,38660,1149592,0,0,0,0,6918,561,0,53,47,0,0,"0,2284563614","-0,124181527","-0,476233355","-0,335421623","-0,015283217","0,025668543","-0,646395588"
4,0,0,1785916,38660,1149592,0,0,0,4,7973,496,0,51,49,0,0,"0,4660162581","-0,331658243","-0,256201619","-0,177827529","0,0496763437","-0,140183781","-0,276823753"
4,0,0,1785916,38668,1149592,0,0,0,28,8980,480,0,51,49,0,0,"0,5669281106","-0,407834087","-0,144999055","-0,139462257","0,1112302594","-0,137474497","-0,300645951"
4,0,0,1785916,38668,1149592,0,0,0,0,7777,475,0,51,49,0,0,"0,4413358114","-0,334525928","-0,267815713","-0,190770475","0,0546782757","-0,178794471","-0,284579596"
5,0,0,1773568,38688,1150372,0,0,676,0,7340,571,21,57,21,1,0,"-0,556790691","0,6196690831","0,9191733447","0,2021887819","-0,019712844","0,192129201","-0,195615501"
