r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
3,0,0,1207236,34240,1747996,0,0,0,0,11116,435,0,51,49,0,0,"-0,239992298","-0,413436189","-0,474395083","0,5945387676","-0,382106064","-0,465713938","-0,17433782"
4,0,0,1188396,34240,1747996,0,0,0,4,9619,600,1,52,48,0,0,"0,0359766939","0,4111981025","-0,270295364","0,1615200874","-0,445983585","-0,26398215","-1,259256864"
3,0,0,1188396,34240,1747996,0,0,0,0,12017,405,0,51,49,0,0,"-0,135559237","-0,561372526","-0,549018896","0,7681009627","-0,471958088","-0,449478851","-0,000514294"
2,0,0,1180532,34248,1747996,0,0,0,16,10859,487,1,51,49,0,0,"-0,342930646","-0,466855417","-0,211193655","0,0581000858","-0,26367754","-1,073942804","0,0437641875"
3,0,0,1201588,34248,1747996,0,0,0,0,9968,453,0,52,48,0,0,"-0,285862401","-0,234588584","-0,429454927","0,4524813782","-0,246162177","-0,471661089","-0,295786831"
3,0,0,1201588,34248,1747996,0,0,0,4,12076,433,1,50,49,0,0,"-0,114736979","-0,476468813","-0,386467336","0,6426687331","-0,597540056","-0,471161734","-0,078417435"
2,0,0,1183444,34248,1747996,0,0,0,4,8869,460,0,51,49,0,0,"-0,612444795","-0,432627281","-0,245706803","0,0192468875","0,0302719256","-0,921983309","0,0077484747"
3,0,0,1183444,34248,1747996,0,0,0,0,11668,262,1,50,49,0,0,"-0,265105288","-0,868487761","-0,529958957","1,2560019163","-0,621557922","-0,088729535","0,5786888588"
4,0,0,1183444,34256,1747996,0,0,0,16,11783,438,0,51,49,0,0,"0,0915184149","-0,24675414","-0,586845969","0,9029933446","-0,589138084","0,036677775","-0,530471576"
2,0,0,1176052,34256,1747996,0,0,0,0,11463,484,0,51,49,0,0,"-0,293200804","-0,569063293","-0,345755549","0,1072340716","-0,195484824","-1,086773063","0,0631817956"
2,0,0,1195556,34256,1747996,0,0,0,0,10139,370,1,51,48,0,0,"-0,509271294","-0,661482284","-0,286542274","0,4539811439","-0,248374654","-0,784706617","0,4712651921"
2,0,0,1195556,34256,1747996,0,0,0,8,12210,449,0,51,49,0,0,"-0,273385625","-0,696100075","-0,410684452","0,3043682084","-0,287403285","-1,043676471","0,2371732557"
3,0,0,1195556,34256,1747996,0,0,0,0,12692,407,0,51,49,0,0,"-0,055731114","-0,60614927","-0,568003366","0,7949086583","-0,5228558","-0,456915036","0,0344526107"
2,0,0,1187492,34264,1747996,0,0,0,28,11055,488,1,50,49,0,0,"-0,338382918","-0,508887349","-0,179005395","0,0410536723","-0,283028508","-1,035907521","0,0541965125"
2,0,0,1173828,34264,1747996,0,0,0,8,9905,405,0,52,48,0,0,"-0,466335125","-0,591819022","-0,36976823","0,3065354521","-0,060600502","-0,864381591","0,3005256833"
2,0,0,1173828,34264,1747996,0,0,0,0,12018,429,0,51,49,0,0,"-0,264981091","-0,745121072","-0,419078711","0,3476935401","-0,261940636","-0,982293469","0,3153344002"
3,0,0,1173828,34264,1747996,0,0,0,0,11597,415,0,51,49,0,0,"-0,121862974","-0,522495967","-0,504848286","0,6658545635","-0,39955704","-0,412210635","-0,048171518"
3,0,0,1173828,34264,1747996,0,0,0,4,11897,425,0,51,49,0,0,"-0,081525294","-0,520097077","-0,509390895","0,6504902395","-0,423414886","-0,448385411","-0,070981095"
3,0,0,1173828,34272,1747996,0,0,0,16,11805,440,0,51,49,0,0,"-0,070359173","-0,479692586","-0,483296071","0,5789749879","-0,399617379","-0,462734796","-0,131743542"
2,0,0,1200944,34272,1747996,0,0,0,4,11116,464,0,52,48,0,0,"-0,325592119","-0,52458139","-0,364814418","0,1723507764","-0,155200492","-1,029074215","0,1311461783"
3,0,0,1185912,34272,1747996,0,0,0,0,10480,480,1,51,48,0,0,"-0,151223563","-0,206071965","-0,283742988","0,3343450271","-0,388691961","-0,491907275","-0,328951572"
3,0,0,1185912,34272,1747996,0,0,0,0,12363,426,1,50,49,0,0,"-0,036843994","-0,530238893","-0,393472307","0,656505854","-0,59901687","-0,43176204","-0,01931964"
2,0,0,1200692,34272,1747996,0,0,0,132,8570,454,0,51,49,0,0,"-0,649279427","-0,421773203","-0,195526882","0,0157678485","0,087109603","-0,854835012","0,0193909792"
3,0,0,1200692,34280,1747996,0,0,0,28,11479,279,0,51,49,0,0,"-0,270150826","-0,8303782","-0,606705083","1,1707016983","-0,436142891","-0,081919909","0,4811670383"
2,0,0,1192628,34280,1747996,0,0,0,0,11272,459,1,51,49,0,0,"-0,306220759","-0,567036933","-0,236621794","0,1613055369","-0,290785251","-0,974543444","0,1886377981"
2,0,0,1181428,34280,1747996,0,0,0,4,9348,458,1,51,48,0,0,"-0,473722299","-0,407939976","-0,150548216","0,0279918027","-0,108830843","-0,896840305","0,0950868904"
2,0,0,1181428,34280,1747996,0,0,0,0,12168,412,0,51,49,0,0,"-0,257541752","-0,79738924","-0,430233889","0,4081753655","-0,271038013","-0,923435613","0,3959279773"
2,0,0,1195116,34280,1747996,0,0,0,0,8403,471,0,51,49,0,0,"-0,638100741","-0,375621377","-0,189820759","-0,089681874","0,1038519955","-0,86430842","-0,050150086"
