timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Principale1,Principale2,Principale3,Principale4
"1,700239e+12",14,HTTP Request ML4,200,OK,Thread Group 1-5,true,441133,122,5,5,6,0,"-1,838085032","-0,097995329","0,2920773147","-0,588304172"
"1,700239e+12",9,HTTP Request S7,200,OK,Thread Group 1-5,true,103954,122,7,7,6,0,"-1,745228842","-0,122922885","0,2776394002","-0,566913198"
"1,700239e+12",1564,HTTP Request L8,200,OK,Thread Group 1-5,true,139616020,122,11,11,8,0,"-2,088411613","3,211144618","-0,468558282","2,1485236122"
"1,700239e+12",16,HTTP Request ML11,200,OK,Thread Group 1-5,true,639339,122,14,14,2,0,"-1,428271404","-0,16842989","0,2179333886","-0,460289869"
"1,700239e+12",26,HTTP Request S7,200,OK,Thread Group 1-5,true,103955,122,19,19,17,0,"-1,191065748","-0,22396373","0,1816242423","-0,398080814"
"1,700239e+12",225,HTTP Request L2,200,OK,Thread Group 1-5,true,34622168,122,27,27,2,0,"-0,963003897","0,5403340619","-0,060592711","0,3711257082"
"1,700239e+12",3115,HTTP Request S4,200,OK,Thread Group 1-5,true,50099,121,41,41,3044,0,"1,0655313129","-0,56889511","0,1908790464","0,4995257554"
"1,700239e+12",903,HTTP Request S10,200,OK,Thread Group 1-5,true,169789,122,44,44,651,0,"0,2175222652","-0,457959864","0,036467783","0,0706697313"
"1,700239e+12",1323,HTTP Request S4,200,OK,Thread Group 1-5,true,50099,121,44,44,1106,0,"0,4050148652","-0,501324495","-0,011008931","0,158912697"
"1,700239e+12",5598,HTTP Request ML2,200,OK,Thread Group 1-5,true,419926,122,44,44,207,0,"0,0844089504","-0,353819283","-0,020307682","-0,100709024"
"1,700239e+12",3561,HTTP Request ML1,200,OK,Thread Group 1-5,true,406403,122,44,44,886,0,"0,3375744823","-0,4267692","0,0497263736","0,0792254249"
"1,700239e+12",151856,HTTP Request L1,200,OK,Thread Group 1-5,true,24636579,122,41,41,2167,0,"2,0931206947","2,3337385428","-0,358463208","-1,796324903"
"1,700239e+12",164,HTTP Request S3,200,OK,Thread Group 1-5,true,42123,121,41,41,77,0,"-0,158061998","-0,430253822","-0,080433786","-0,082324883"
"1,700239e+12",6757,HTTP Request MH6,200,OK,Thread Group 1-5,true,855008,122,37,37,2020,0,"0,5034454611","-0,379233941","0,2017450812","0,1770093767"
"1,700239e+12",4497,HTTP Request L11,200,OK,Thread Group 1-6,true,212695240,122,10,10,8,0,"-2,389333214","5,0155227723","-0,840652926","3,4909147447"
"1,700239e+12",8,HTTP Request S8,200,OK,Thread Group 1-6,true,119483,122,10,10,6,0,"-1,60790755","-0,14772005","0,2533124192","-0,524901593"
"1,700239e+12",3,HTTP Request S3,200,OK,Thread Group 1-6,true,42122,121,14,14,3,0,"-1,425972193","-0,201718449","0,1313099697","-0,470573249"
"1,700239e+12",9,HTTP Request ML10,200,OK,Thread Group 1-6,true,644856,122,20,20,3,0,"-1,153176556","-0,218773559","0,1695181668","-0,376458375"
"1,700239e+12",71,HTTP Request ML10,200,OK,Thread Group 1-6,true,644856,122,28,28,3,0,"-0,786183703","-0,284917982","0,104669292","-0,26634712"
"1,700239e+12",1976,HTTP Request S1,200,OK,Thread Group 1-6,true,19767,121,41,41,1946,0,"0,6123560793","-0,518951103","0,090749421","0,2844869332"
"1,700239e+12",10409,HTTP Request MH1,200,OK,Thread Group 1-6,true,1072803,122,44,44,4616,0,"1,9044160802","-0,53806258","0,3783717217","0,7688824448"
"1,700239e+12",324,HTTP Request S3,200,OK,Thread Group 1-6,true,42123,121,44,44,203,0,"0,0316375594","-0,460781646","-0,093261658","-0,016528513"
"1,700239e+12",6821,HTTP Request ML4,200,OK,Thread Group 1-6,true,441133,122,44,44,1498,0,"0,6161437838","-0,414639031","0,0978326699","0,1538664766"
"1,700239e+12",16293,HTTP Request MH5,200,OK,Thread Group 1-6,true,830182,122,44,44,2181,0,"0,9835567254","-0,304834698","0,1328201968","0,1426654504"
"1,700239e+12",9158,HTTP Request MH5,200,OK,Thread Group 1-6,true,830182,122,44,44,1589,0,"0,6744518415","-0,375733908","0,0976617199","0,1402107441"
"1,700239e+12",3903,HTTP Request S5,200,OK,Thread Group 1-6,true,72135,122,44,44,165,0,"0,0520354989","-0,385092332","-0,017585649","-0,08694831"
"1,700239e+12",32,HTTP Request MH10,200,OK,Thread Group 1-7,true,974939,122,7,7,4,0,"-1,749193236","-0,101574122","0,2729542871","-0,550967567"
"1,700239e+12",9,HTTP Request ML7,200,OK,Thread Group 1-7,true,521377,122,9,9,2,0,"-1,656868092","-0,129439122","0,2589718005","-0,531931872"
"1,700239e+12",18,HTTP Request MH4,200,OK,Thread Group 1-7,true,899172,122,13,13,5,0,"-1,473851709","-0,153971723","0,2249727666","-0,468579768"
"1,700239e+12",3,HTTP Request S6,200,OK,Thread Group 1-7,true,79575,121,18,18,2,0,"-1,243331585","-0,234298013","0,0986906101","-0,414471744"
"1,700239e+12",64,HTTP Request ML11,200,OK,Thread Group 1-7,true,639340,122,25,25,3,0,"-0,923623321","-0,260001289","0,1289685483","-0,308027076"
"1,700239e+12",456,HTTP Request S6,200,OK,Thread Group 1-7,true,79575,121,36,36,386,0,"-0,259910744","-0,402121869","-0,011901361","-0,090248457"
"1,700239e+12",10187,HTTP Request MH1,200,OK,Thread Group 1-7,true,1072803,122,44,44,1023,0,"0,4558801966","-0,319455268","0,0400463259","0,0062865866"
"1,700239e+12",60,HTTP Request ML11,200,OK,Thread Group 1-8,true,639340,122,8,8,40,0,"-1,687321431","-0,1198058","0,2698925658","-0,53633788"
"1,700239e+12",133,HTTP Request MH3,200,OK,Thread Group 1-8,true,1188300,122,11,11,5,0,"-1,565429492","-0,128539176","0,2393360596","-0,492805066"
"1,700239e+12",1628,HTTP Request L7,200,OK,Thread Group 1-8,true,106800318,122,17,17,4,0,"-1,686972781","2,3754065706","-0,350726179","1,598060445"
"1,700239e+12",14,HTTP Request MH10,200,OK,Thread Group 1-8,true,974939,122,22,22,2,0,"-1,063218873","-0,227493472","0,1515632928","-0,342605667"
"1,700239e+12",10,HTTP Request S7,200,OK,Thread Group 1-9,true,103955,122,9,9,4,0,"-1,654429599","-0,139553823","0,2612805437","-0,539560349"
"1,700239e+12",1094,HTTP Request L5,200,OK,Thread Group 1-9,true,62235225,122,13,13,4,0,"-1,702132611","1,3326119726","-0,090190101","0,6936019791"
"1,700239e+12",7,HTTP Request ML3,200,OK,Thread Group 1-9,true,427141,123,17,17,3,0,"-1,289444151","-0,180153465","0,2846749802","-0,423088673"
"1,700239e+12",10,HTTP Request MH3,200,OK,Thread Group 1-9,true,1188301,122,24,24,2,0,"-0,972493989","-0,239208692","0,1343224902","-0,310630991"
"1,700239e+12",2058,HTTP Request S6,200,OK,Thread Group 1-9,true,79575,121,36,36,1987,0,"0,4004553444","-0,476891092","0,1344936161","0,2234694135"
"1,700239e+12",57,HTTP Request ML5,200,OK,Thread Group 1-10,true,472760,122,10,10,33,0,"-1,597926702","-0,14018131","0,2539208135","-0,513189832"
"1,700239e+12",5,HTTP Request S9,200,OK,Thread Group 1-10,true,148144,121,14,14,3,0,"-1,4263647","-0,199146822","0,130764954","-0,46856643"
"1,700239e+12",269,HTTP Request L3,200,OK,Thread Group 1-10,true,41515419,122,19,19,3,0,"-1,355352425","0,7732546239","-0,031015178","0,3921225615"
"1,700239e+12",12,HTTP Request S9,200,OK,Thread Group 1-10,true,148145,121,27,27,2,0,"-0,831334134","-0,307981795","0,0255630637","-0,288221892"
"1,700239e+12",8144,HTTP Request MH10,200,OK,Thread Group 1-10,true,974939,122,44,44,3245,0,"1,3304363489","-0,48983339","0,2560957472","0,5138495618"
"1,700239e+12",10407,HTTP Request MH2,200,OK,Thread Group 1-10,true,1046521,122,44,44,4690,0,"1,9342865529","-0,54329394","0,385492464","0,7841965495"
"1,700239e+12",11060,HTTP Request MH11,200,OK,Thread Group 1-10,true,990224,122,44,44,177,0,"0,1243136534","-0,256025357","-0,041878369","-0,190920939"
"1,700239e+12",7288,HTTP Request MH4,200,OK,Thread Group 1-10,true,899173,122,44,44,1598,0,"0,6592505161","-0,402802405","0,103582972","0,1759132215"
"1,700239e+12",75,HTTP Request ML5,200,OK,Thread Group 1-11,true,472760,122,11,11,19,0,"-1,557586472","-0,147430151","0,2444641971","-0,502590256"
"1,700239e+12",5,HTTP Request S10,200,OK,Thread Group 1-11,true,169788,122,15,15,2,0,"-1,380757119","-0,188236184","0,212269737","-0,45524209"
"1,700239e+12",989,HTTP Request L4,200,OK,Thread Group 1-11,true,49283390,122,22,22,2,0,"-1,241430958","0,9452164764","-0,096955449","0,5706865493"
"1,700239e+12",10987,HTTP Request ML9,200,OK,Thread Group 1-11,true,574281,118,41,41,5974,0,"2,320162312","-0,674899819","0,1724263112","1,0003513892"
"1,700239e+12",8664,HTTP Request MH2,200,OK,Thread Group 1-11,true,1046521,122,44,44,2097,0,"0,8731997818","-0,409369471","0,1459195695","0,261315093"
"1,700239e+12",5034,HTTP Request S9,200,OK,Thread Group 1-11,true,148145,121,44,44,1615,0,"0,6463513367","-0,474520847","0,0257502531","0,2049740937"
"1,700239e+12",4,HTTP Request S4,200,OK,Thread Group 1-12,true,50099,121,12,12,4,0,"-1,517185161","-0,184804369","0,1475281094","-0,498020503"
"1,700239e+12",3,HTTP Request S6,200,OK,Thread Group 1-12,true,79574,121,16,16,2,0,"-1,334925989","-0,217528466","0,1148578834","-0,442268582"
"1,700239e+12",2972,HTTP Request L6,200,OK,Thread Group 1-12,true,83840295,122,26,26,6,0,"-1,17135761","1,7696782239","-0,310415815","1,2581358945"
"1,700239e+12",7825,HTTP Request MH5,200,OK,Thread Group 1-12,true,830182,122,41,41,2591,0,"0,9271799362","-0,432554245","0,2203086008","0,3353937817"
"1,700239e+12",1305,HTTP Request S2,200,OK,Thread Group 1-12,true,43732,121,44,44,1226,0,"0,453166042","-0,509161026","0,0003966376","0,184700553"
"1,700239e+12",5875,HTTP Request ML3,200,OK,Thread Group 1-12,true,427142,123,44,44,1723,0,"0,6976801338","-0,424407437","0,2116669432","0,2172339"
"1,700239e+12",1866,HTTP Request S6,200,OK,Thread Group 1-12,true,79575,121,44,44,1625,0,"0,6192076117","-0,524499419","0,0362297067","0,2607680531"
"1,700239e+12",5743,HTTP Request ML8,200,OK,Thread Group 1-12,true,542325,122,44,44,1988,0,"0,8022988238","-0,458719256","0,1466716141","0,279049293"
"1,700239e+12",10187,HTTP Request MH4,200,OK,Thread Group 1-12,true,899173,122,44,44,4384,0,"1,8094987752","-0,531237175","0,3580113503","0,7199023311"
"1,700239e+12",7408,HTTP Request MH8,200,OK,Thread Group 1-12,true,944400,122,44,44,2144,0,"0,8800532345","-0,433638951","0,1545154373","0,291172672"
"1,700239e+12",5426,HTTP Request ML8,200,OK,Thread Group 1-12,true,542325,122,44,44,2696,0,"1,0841529105","-0,507229409","0,214384744","0,4355794576"
"1,700239e+12",9832,HTTP Request MH9,200,OK,Thread Group 1-12,true,966152,122,44,44,1586,0,"0,6794034384","-0,362137252","0,0947325464","0,1304916125"
"1,700239e+12",9711,HTTP Request MH9,200,OK,Thread Group 1-12,true,966152,122,44,44,2513,0,"1,0513590918","-0,421223541","0,1825380706","0,3303366326"
"1,700239e+12",3888,HTTP Request MH2,200,OK,Thread Group 1-12,true,1046521,122,43,43,855,0,"0,2800536546","-0,396199533","0,050681543","0,0653649707"
"1,700239e+12",1818,HTTP Request S1,200,OK,Thread Group 1-12,true,19767,121,43,43,1739,0,"0,6190564945","-0,525313451","0,0555116561","0,2708692069"
"1,700239e+12",3758,HTTP Request ML8,200,OK,Thread Group 1-12,true,542325,122,42,42,972,0,"0,2820248493","-0,409086618","0,0727444256","0,0689721931"
"1,700239e+12",885,HTTP Request S3,200,OK,Thread Group 1-12,true,42123,121,42,42,740,0,"0,1617749062","-0,468734381","-0,028059893","0,0604897597"
"1,700239e+12",29,HTTP Request MH8,200,OK,Thread Group 1-13,true,944400,122,13,13,7,0,"-1,47311338","-0,152845404","0,224899525","-0,467473143"
"1,700239e+12",6,HTTP Request S2,200,OK,Thread Group 1-13,true,43732,121,18,18,5,0,"-1,241954786","-0,235297355","0,099147228","-0,41457404"
"1,700239e+12",33,HTTP Request MH7,200,OK,Thread Group 1-13,true,937262,122,25,25,11,0,"-0,921869311","-0,253820777","0,1282979847","-0,300045829"
"1,700239e+12",806,HTTP Request S1,200,OK,Thread Group 1-13,true,19767,121,36,36,791,0,"-0,093175643","-0,423301925","0,0255961335","-0,011080943"
"1,700239e+12",1645,HTTP Request S8,200,OK,Thread Group 1-13,true,119484,122,44,44,1424,0,"0,5362456068","-0,495740268","0,1074978263","0,2217177396"
"1,700239e+12",12098,HTTP Request MH7,200,OK,Thread Group 1-13,true,937262,122,44,44,1923,0,"0,8376577699","-0,349516364","0,1201011105","0,1624964161"
"1,700239e+12",5108,HTTP Request ML6,200,OK,Thread Group 1-13,true,494594,123,44,44,1823,0,"0,7300610946","-0,440520558","0,2229823695","0,2531758651"
"1,700239e+12",2374,HTTP Request S8,200,OK,Thread Group 1-13,true,119484,122,44,44,2170,0,"0,8437756673","-0,530842719","0,1757625027","0,368200459"
"1,700239e+12",9988,HTTP Request ML11,200,OK,Thread Group 1-13,true,639340,122,44,44,4581,0,"1,8878354373","-0,552632456","0,3784952233","0,7603762281"
"1,700239e+12",118007,HTTP Request L1,200,OK,Thread Group 1-13,true,24636579,122,42,42,110,0,"0,9750080675","1,9425801185","-0,46244426","-1,633765118"
"1,700239e+12",9,HTTP Request ML2,200,OK,Thread Group 1-14,true,419926,122,14,14,4,0,"-1,426682414","-0,173918523","0,2192582811","-0,463966701"
"1,700239e+12",62,HTTP Request ML9,200,OK,Thread Group 1-14,true,574281,118,19,19,4,0,"-1,198959213","-0,286203279","-0,181269973","-0,389312171"
"1,700239e+12",10,HTTP Request MH11,200,OK,Thread Group 1-14,true,990224,122,27,27,2,0,"-0,834331993","-0,269111243","0,1110789846","-0,272749876"
