procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 1159636  34376 1749376    0    0     0     4 8973  419  1 51 49  0  0
 4  0      0 1159388  34376 1749376    0    0     0     0 11034  418  0 51 49  0  0
 4  0      0 1159388  34384 1749376    0    0     0    12 11899  417  0 51 49  0  0
 4  0      0 1159388  34384 1749376    0    0     0     0 13715  391  1 51 49  0  0
 4  0      0 1159388  34384 1749376    0    0     0     0 12945  399  0 51 49  0  0
 5  0      0 1159388  34384 1749376    0    0     0   132 10706  424  0 51 49  0  0
 2  0      0 1172272  34384 1749376    0    0     0     4 8028  497  0 52 48  0  0
 2  0      0 1172272  34392 1749376    0    0     0    16 11543  260  0 51 49  0  0
 2  0      0 1166648  34392 1749376    0    0     0     0 10812  464  1 50 49  0  0
 3  0      0 1150968  34392 1749376    0    0     0     0 8892  405  0 52 48  0  0
 3  0      0 1150968  34392 1749376    0    0     0    40 11574  419  0 51 49  0  0
 2  0      0 1177032  34392 1749376    0    0     0     0 10902  477  0 51 49  0  0
 3  0      0 1165608  34400 1749376    0    0     0    20 9584  375  0 51 49  0  0
 4  0      0 1165608  34400 1749376    0    0     0     4 12126  427  1 51 49  0  0
 4  0      0 1165608  34400 1749376    0    0     0     0 12160  421  0 51 49  0  0
 2  0      0 1157096  34400 1749376    0    0     0     0 11173  480  0 51 49  0  0
 2  0      0 1178448  34400 1749376    0    0     0     0 10105  461  0 51 49  0  0
 3  0      0 1178448  34408 1749376    0    0     0    16 12188  426  0 51 49  0  0
 3  0      0 1178448  34408 1749376    0    0     0     4 11534  435  0 51 49  0  0
 2  0      0 1158040  34408 1749376    0    0     0     0 9293  462  1 51 49  0  0
 2  0      0 1158040  34408 1749376    0    0     0     0 11799  260  0 51 49  0  0
 2  0      0 1178204  34408 1749376    0    0     0     4 10885  516  0 51 49  0  0
 2  0      0 1166756  34416 1749376    0    0     0    12 9685  372  0 51 49  0  0
 2  0      0 1166756  34416 1749376    0    0     0     0 12099  414  0 51 49  0  0
 2  0      0 1145508  34416 1749376    0    0     0     4 9035  536  0 52 48  0  0
 4  0      0 1145508  34416 1749380    0    0     0     0 12152  420  0 51 49  0  0
 2  0      0 1170356  34416 1749380    0    0     0     0 10921  462  0 51 49  0  0
 2  0      0 1158708  34424 1749380    0    0     0    20 10329  445  0 51 49  0  0
 2  0      0 1158708  34424 1749380    0    0     0     0 12168  405  0 51 49  0  0
 2  0      0 1171288  34424 1749380    0    0     0     4 8587  478  0 51 49  0  0
 2  0      0 1171288  34424 1749380    0    0     0     8 12244  406  0 51 49  0  0
 2  0      0 1171288  34424 1749380    0    0     0     0 11242  416  1 51 49  0  0
 3  0      0 1171288  34432 1749380    0    0     0    24 11031  427  0 51 49  0  0
 4  0      0 1171064  34432 1749380    0    0     0     0 11395  415  0 51 49  0  0
 2  0      0 1148664  34432 1749380    0    0     0     4 8978  506  0 52 48  0  0
 2  0      0 1148664  34432 1749380    0    0     0     0 10897  267  0 51 49  0  0
 2  0      0 1170472  34432 1749380    0    0     0     4 11139  473  0 51 49  0  0
 3  0      0 1159048  34440 1749380    0    0     0    36 10077  386  1 51 49  0  0
 3  0      0 1159048  34440 1749380    0    0     0     0 11935  420  0 51 49  0  0
 2  0      0 1151432  34440 1749380    0    0     0     0 9759  485  0 51 49  0  0
 3  0      0 1169768  34440 1749380    0    0     0     0 9949  375  0 51 49  0  0
 4  0      0 1169768  34440 1749380    0    0     0     0 12324  428  0 51 49  0  0
 2  0      0 1170512  34448 1749380    0    0     0    20 7623  549  1 52 48  0  0
 2  0      0 1161104  34448 1749380    0    0     0     0 10051  377  0 51 49  0  0
 2  0      0 1161104  34448 1749380    0    0     0     0 12218  421  0 51 49  0  0
 3  0      0 1161104  34448 1749380    0    0     0     4 11959  434  0 51 49  0  0
 2  0      0 1151920  34448 1749380    0    0     0     0 10699  495  1 51 48  0  0
