procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 1762772  40312 1107108    0    0     0     0 12083  530  1 51 48  0  0
 4  0      0 1762772  40312 1107108    0    0     0     8 12063  524  1 50 48  0  0
 2  0      0 1781620  40312 1107112    0    0     0     0 8577  623  1 59 41  0  0
 2  0      0 1778708  40320 1107112    0    0     0    24 11133  548  0 51 49  0  0
 3  0      0 1778708  40320 1107112    0    0     0     0 11175  500  1 51 49  0  0
 3  0      0 1778708  40320 1107112    0    0     0     0 11933  503  0 52 48  0  0
 3  0      0 1778708  40320 1107112    0    0     0     0 11413  507  0 51 49  0  0
 3  0      0 1778708  40320 1107112    0    0     0    12 11942  538  1 51 49  0  0
 4  0      0 1778708  40320 1107112    0    0     0     0 12158  507  0 51 49  0  0
 4  0      0 1778708  40328 1107112    0    0     0    24 11948  530  0 51 49  0  0
 4  0      0 1778708  40328 1107112    0    0     0     0 12235  513  0 51 49  0  0
 4  0      0 1778708  40328 1107112    0    0     0     0 12093  517  1 51 49  0  0
 4  0      0 1778708  40328 1107112    0    0     0     0 12284  491  0 51 49  0  0
 4  0      0 1778708  40328 1107112    0    0     0     4 12592  531  0 50 50  0  0
 4  0      0 1778708  40336 1107112    0    0     0    12 12505  522  1 51 49  0  0
 4  0      0 1777364  40336 1107112    0    0     0     0 11953  531  0 51 49  0  0
 5  0      0 1777364  40336 1107112    0    0     0     0 12820  525  0 51 49  0  0
 5  0      0 1777364  40336 1107112    0    0     0     0 12148  537  1 51 49  0  0
 5  0      0 1777364  40336 1107112    0    0     0     0 13128  555  1 51 48  0  0
 5  0      0 1777364  40344 1107112    0    0     0    28 11945  521  1 51 49  0  0
 6  0      0 1777364  40344 1107112    0    0     0     0 11634  538  0 51 49  0  0
 6  0      0 1777364  40344 1107112    0    0     0     0 11789  522  0 51 49  0  0
 6  0      0 1777364  40344 1107112    0    0     0     0 11782  535  1 51 49  0  0
 3  0      0 1780284  40344 1107112    0    0     0    20 4448  939  0 54 46  0  0
 3  0      0 1779388  40352 1107112    0    0     0    16 12620  533  1 51 49  0  0
 3  0      0 1779388  40352 1107112    0    0     0     4 12011  531  0 51 49  0  0
 2  0      0 1796904  40352 1107112    0    0     0     0 8052  740  1 53 46  0  0
 2  0      0 1768824  40352 1107112    0    0     0     0 8430  681  0 52 48  0  0
 3  0      0 1768824  40352 1107112    0    0     0     4 12045  552  0 51 49  0  0
 3  0      0 1767480  40352 1107112    0    0     0     0 12433  523  0 51 49  0  0
 3  0      0 1799088  40360 1107112    0    0     0    16 12642  526  0 51 49  0  0
 4  0      0 1799088  40360 1107112    0    0     0     4 12285  576  0 51 49  0  0
 5  0      0 1799088  40360 1107112    0    0     0     0 12005  530  0 51 49  0  0
 5  0      0 1799088  40360 1107112    0    0     0     0 11979  525  1 51 49  0  0
 5  0      0 1799088  40360 1107112    0    0     0     0 12703  539  1 51 49  0  0
 5  0      0 1797520  40368 1107112    0    0     0    12 11647  548  1 51 48  0  0
 3  0      0 1795572  40368 1107112    0    0     0     0 8113  711  0 53 47  0  0
 3  0      0 1795572  40368 1107112    0    0     0     4 12404  540  0 51 49  0  0
 3  0      0 1795572  40368 1107112    0    0     0     0 11471  521  0 51 49  0  0
 4  0      0 1795572  40368 1107112    0    0     0     0 12061  545  1 51 49  0  0
 4  0      0 1795572  40376 1107112    0    0     0    16 12105  534  0 51 49  0  0
 4  0      0 1794228  40376 1107112    0    0     0     4 12094  513  0 51 49  0  0
 4  0      0 1794228  40376 1107112    0    0     0     0 12777  532  1 51 49  0  0
