procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 1725192  38732 1150900    0    0     0     0 9777  483  0 51 49  0  0
 5  0      0 1725192  38740 1150892    0    0     0    12 12850  491  0 51 49  0  0
 4  0      0 1725192  38740 1150892    0    0     0     0 7800  477  1 51 49  0  0
 3  0      0 1749216  38740 1150908    0    0     0     4 6089  566  0 51 49  0  0
 3  0      0 1748224  38740 1150908    0    0     0     0 5430  671  2 55 44  0  0
 3  0      0 1748224  38740 1150904    0    0     0     0 6928  489  1 51 49  0  0
 3  0      0 1748224  38748 1150908    0    0     0    32 8849  477  1 51 49  0  0
 4  0      0 1748224  38748 1150908    0    0     0     0 9282  481  0 51 49  0  0
 2  0      0 1773652  38748 1150908    0    0     0     8 7143  555  0 53 47  0  0
 3  0      0 1773652  38748 1150908    0    0     0    60 9897  335  0 51 49  0  0
 3  0      0 1773412  38748 1150908    0    0     0     0 9893  495  0 51 49  0  0
 5  0      0 1773160  38756 1150900    0    0     0    52 10251  491  0 51 49  0  0
 4  0      0 1773160  38756 1150900    0    0     0     0 10031  475  0 51 49  0  0
 4  0      0 1773160  38756 1150900    0    0     0     0 9981  480  1 51 49  0  0
 4  0      0 1773160  38756 1150900    0    0     0   112 10055  481  0 51 49  0  0
 5  0      0 1773160  38756 1150900    0    0     0     4 9757  488  0 51 49  0  0
 5  0      0 1773160  38764 1150892    0    0     0    16 9257  491  0 51 49  0  0
 5  0      0 1771592  38764 1150892    0    0     0     0 10314  492  0 51 49  0  0
 5  0      0 1771592  38764 1150892    0    0     0     0 10358  481  0 51 49  0  0
 6  0      0 1771592  38764 1150892    0    0     0     0 8842  490  0 51 49  0  0
 6  0      0 1771592  38764 1150892    0    0     0     0 9657  492  0 51 49  0  0
 6  0      0 1771592  38772 1150884    0    0     0    20 10585  502  0 51 49  0  0
 2  0      0 1781536  38772 1150908    0    0     0     0 4880  715  0 53 47  0  0
 3  0      0 1760028  38772 1150908    0    0     0     0  809  878  1 56 44  0  0
 4  0      0 1773364  38772 1150912    0    0     0     0 5661  712  0 52 48  0  0
 4  0      0 1773364  38772 1150912    0    0     0     0 9129  480  0 51 49  0  0
