timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703672756553,1,HTTP Request S 7,200,OK,Thread Group 1-2,text,true,,103954,122,2,6,http://192.168.52.128/7.html,1,0,0
1703672756555,13,HTTP Request M 1,200,OK,Thread Group 2-1,text,true,,1072802,122,2,6,http://192.168.52.128/23.csv,4,0,0
1703672756576,1,HTTP Request S 6,200,OK,Thread Group 1-1,bin,true,,79574,121,2,6,http://192.168.52.128/6.jpg,1,0,0
1703672756563,23,HTTP Request M 11,200,OK,Thread Group 2-2,bin,true,,990223,122,2,6,http://192.168.52.128/33.bmp,10,0,0
1703672756638,3,HTTP Request S 7,200,OK,Thread Group 1-2,text,true,,103954,122,2,6,http://192.168.52.128/7.html,2,0,0
1703672756641,10,HTTP Request M 6,200,OK,Thread Group 2-1,bin,true,,855007,122,2,6,http://192.168.52.128/28.bmp,3,0,0
1703672756649,8,HTTP Request M 5,200,OK,Thread Group 2-2,bin,true,,830181,122,2,6,http://192.168.52.128/27.jpg,2,0,0
1703672756662,2,HTTP Request S 2,200,OK,Thread Group 1-1,bin,true,,43731,121,2,6,http://192.168.52.128/2.mp4,1,0,0
1703672756724,1,HTTP Request S 6,200,OK,Thread Group 1-2,bin,true,,79574,121,2,6,http://192.168.52.128/6.jpg,1,0,0
1703672756727,6,HTTP Request M 9,200,OK,Thread Group 2-1,bin,true,,966151,122,2,6,http://192.168.52.128/31.bmp,1,0,0
1703672756749,5,HTTP Request S 9,200,OK,Thread Group 1-1,bin,true,,148144,121,2,6,http://192.168.52.128/9.jpg,4,0,0
1703672756736,23,HTTP Request M 11,200,OK,Thread Group 2-2,bin,true,,990223,122,2,6,http://192.168.52.128/33.bmp,12,0,0
1703672756811,5,HTTP Request S 11,200,OK,Thread Group 1-2,text,true,,194661,123,2,6,http://192.168.52.128/11.xlsx,3,0,0
1703672756814,13,HTTP Request M 1,200,OK,Thread Group 2-1,text,true,,1072802,122,2,6,http://192.168.52.128/23.csv,3,0,0
1703672756821,18,HTTP Request M 2,200,OK,Thread Group 2-2,bin,true,,1046520,122,2,6,http://192.168.52.128/24.jpg,9,0,0
1703672756835,6,HTTP Request S 9,200,OK,Thread Group 1-1,bin,true,,148144,121,2,6,http://192.168.52.128/9.jpg,6,0,0
1703672756897,2,HTTP Request S 7,200,OK,Thread Group 1-2,text,true,,103954,122,2,6,http://192.168.52.128/7.html,1,0,0
1703672756899,15,HTTP Request M 8,200,OK,Thread Group 2-1,,true,,944399,122,2,6,http://192.168.52.128/30.jmp,6,0,0
1703672756907,23,HTTP Request M 3,200,OK,Thread Group 2-2,text,true,,1188300,122,2,6,http://192.168.52.128/25.pdf,9,0,0
1703672756920,10,HTTP Request S 9,200,OK,Thread Group 1-1,bin,true,,148144,121,2,6,http://192.168.52.128/9.jpg,5,0,0
1703672756951,7,HTTP Request S 10,200,OK,Thread Group 1-3,bin,true,,169789,122,3,7,http://192.168.52.128/10.mp4,6,0,3
1703672756982,4,HTTP Request S 9,200,OK,Thread Group 1-2,bin,true,,148144,121,3,9,http://192.168.52.128/9.jpg,3,0,0
1703672756962,35,HTTP Request M 7,200,OK,Thread Group 2-3,bin,true,,937262,122,3,9,http://192.168.52.128/29.jpg,9,0,1
1703672756989,10,HTTP Request M 9,200,OK,Thread Group 2-1,bin,true,,966151,122,3,9,http://192.168.52.128/31.bmp,3,0,0
1703672756994,18,HTTP Request M 9,200,OK,Thread Group 2-2,bin,true,,966151,122,3,9,http://192.168.52.128/31.bmp,6,0,0
1703672757006,7,HTTP Request S 6,200,OK,Thread Group 1-1,bin,true,,79574,121,3,9,http://192.168.52.128/6.jpg,6,0,0
1703672757079,2,HTTP Request S 4,200,OK,Thread Group 1-3,text,true,,50098,121,3,9,http://192.168.52.128/4.csv,2,0,0
1703672755971,1128,HTTP Request L 3,200,OK,Thread Group 3-2,text,true,,41515419,122,3,9,http://192.168.52.128/36.pdf,42,0,9
1703672757090,11,HTTP Request M 2,200,OK,Thread Group 2-3,bin,true,,1046520,122,3,9,http://192.168.52.128/24.jpg,2,0,0
1703672757111,10,HTTP Request S 6,200,OK,Thread Group 1-2,bin,true,,79574,121,3,9,http://192.168.52.128/6.jpg,10,0,0
1703672757121,12,HTTP Request M 10,200,OK,Thread Group 2-2,text,true,,974938,122,3,9,http://192.168.52.128/32.pdf,7,0,0
1703672757114,20,HTTP Request M 5,200,OK,Thread Group 2-1,bin,true,,830181,122,3,9,http://192.168.52.128/27.jpg,10,0,0
1703672757136,3,HTTP Request S 1,200,OK,Thread Group 1-1,text,true,,19766,121,3,9,http://192.168.52.128/1.txt,3,0,0
1703672757208,5,HTTP Request S 1,200,OK,Thread Group 1-3,text,true,,19766,121,3,9,http://192.168.52.128/1.txt,5,0,0
1703672757221,17,HTTP Request M 4,200,OK,Thread Group 2-3,text,true,,899172,122,3,9,http://192.168.52.128/26.csv,4,0,0
1703672757240,39,HTTP Request S 2,200,OK,Thread Group 1-2,bin,true,,43731,121,3,9,http://192.168.52.128/2.mp4,37,0,0
1703672757244,70,HTTP Request M 9,200,OK,Thread Group 2-1,bin,true,,966151,122,3,9,http://192.168.52.128/31.bmp,36,0,0
1703672757265,52,HTTP Request S 4,200,OK,Thread Group 1-1,text,true,,50098,121,3,9,http://192.168.52.128/4.csv,52,0,0
1703672757337,16,HTTP Request S 3,200,OK,Thread Group 1-3,bin,true,,42122,121,3,9,http://192.168.52.128/3.jpg,16,0,0
1703672757348,29,HTTP Request M 7,200,OK,Thread Group 2-3,bin,true,,937261,122,3,9,http://192.168.52.128/29.jpg,5,0,0
1703672757371,8,HTTP Request S 8,200,OK,Thread Group 1-2,text,true,,119483,122,3,9,http://192.168.52.128/8.html,7,0,0
1703672757251,142,HTTP Request M 7,200,OK,Thread Group 2-2,bin,true,,937261,122,3,9,http://192.168.52.128/29.jpg,68,0,0
1703672757393,8,HTTP Request S 3,200,OK,Thread Group 1-1,bin,true,,42122,121,3,9,http://192.168.52.128/3.jpg,8,0,0
1703672757372,29,HTTP Request M 6,200,OK,Thread Group 2-1,bin,true,,855007,122,3,9,http://192.168.52.128/28.bmp,7,0,0
1703672757394,14,HTTP Request M 4,200,OK,Thread Group 2-2,text,true,,899172,122,3,9,http://192.168.52.128/26.csv,2,0,0
1703672757467,9,HTTP Request S 2,200,OK,Thread Group 1-3,bin,true,,43731,121,3,9,http://192.168.52.128/2.mp4,9,0,0
1703672757477,9,HTTP Request M 11,200,OK,Thread Group 2-3,bin,true,,990223,122,3,9,http://192.168.52.128/33.bmp,4,0,0
1703672757500,2,HTTP Request S 3,200,OK,Thread Group 1-2,bin,true,,42122,121,3,9,http://192.168.52.128/3.jpg,2,0,0
1703672757501,18,HTTP Request M 1,200,OK,Thread Group 2-1,text,true,,1072802,122,3,9,http://192.168.52.128/23.csv,1,0,0
1703672757523,15,HTTP Request S 9,200,OK,Thread Group 1-1,bin,true,,148144,121,3,9,http://192.168.52.128/9.jpg,7,0,0
1703672757523,20,HTTP Request M 8,200,OK,Thread Group 2-2,,true,,944399,122,3,9,http://192.168.52.128/30.jmp,7,0,0
1703672757597,7,HTTP Request S 2,200,OK,Thread Group 1-3,bin,true,,43731,121,3,9,http://192.168.52.128/2.mp4,6,0,0
1703672757606,9,HTTP Request M 5,200,OK,Thread Group 2-3,bin,true,,830181,122,3,9,http://192.168.52.128/27.jpg,4,0,0
1703672757629,3,HTTP Request S 3,200,OK,Thread Group 1-2,bin,true,,42122,121,3,9,http://192.168.52.128/3.jpg,3,0,0
1703672757631,10,HTTP Request M 11,200,OK,Thread Group 2-1,bin,true,,990223,122,3,9,http://192.168.52.128/33.bmp,2,0,0
1703672757651,6,HTTP Request S 9,200,OK,Thread Group 1-1,bin,true,,148144,121,3,9,http://192.168.52.128/9.jpg,5,0,0
1703672757653,24,HTTP Request M 11,200,OK,Thread Group 2-2,bin,true,,990223,122,3,9,http://192.168.52.128/33.bmp,2,0,0
1703672757726,3,HTTP Request S 6,200,OK,Thread Group 1-3,bin,true,,79574,121,3,9,http://192.168.52.128/6.jpg,2,0,0
1703672757738,12,HTTP Request M 10,200,OK,Thread Group 2-3,text,true,,974938,122,3,9,http://192.168.52.128/32.pdf,4,0,0
1703672757757,5,HTTP Request S 6,200,OK,Thread Group 1-2,bin,true,,79574,121,3,9,http://192.168.52.128/6.jpg,5,0,0
1703672757758,16,HTTP Request M 3,200,OK,Thread Group 2-1,text,true,,1188300,122,3,9,http://192.168.52.128/25.pdf,4,0,0
1703672757781,3,HTTP Request S 7,200,OK,Thread Group 1-1,text,true,,103954,122,3,9,http://192.168.52.128/7.html,2,0,0
1703672757782,7,HTTP Request M 6,200,OK,Thread Group 2-2,bin,true,,855007,122,3,9,http://192.168.52.128/28.bmp,2,0,0
1703672757854,4,HTTP Request S 6,200,OK,Thread Group 1-3,bin,true,,79574,121,3,9,http://192.168.52.128/6.jpg,2,0,0
1703672757866,18,HTTP Request M 3,200,OK,Thread Group 2-3,text,true,,1188300,122,3,9,http://192.168.52.128/25.pdf,2,0,0
1703672757886,3,HTTP Request S 9,200,OK,Thread Group 1-2,bin,true,,148144,121,3,9,http://192.168.52.128/9.jpg,2,0,0
1703672757889,21,HTTP Request M 1,200,OK,Thread Group 2-1,text,true,,1072802,122,3,9,http://192.168.52.128/23.csv,1,0,0
1703672757909,3,HTTP Request S 11,200,OK,Thread Group 1-1,text,true,,194661,123,3,9,http://192.168.52.128/11.xlsx,3,0,0
1703672757910,21,HTTP Request M 10,200,OK,Thread Group 2-2,text,true,,974938,122,3,9,http://192.168.52.128/32.pdf,4,0,0
1703672757948,11,HTTP Request S 10,200,OK,Thread Group 1-4,bin,true,,169789,122,4,11,http://192.168.52.128/10.mp4,5,0,3
1703672757960,12,HTTP Request M 6,200,OK,Thread Group 2-4,bin,true,,855008,122,4,12,http://192.168.52.128/28.bmp,4,0,1
1703672757983,15,HTTP Request S 1,200,OK,Thread Group 1-3,text,true,,19766,121,4,12,http://192.168.52.128/1.txt,15,0,0
1703672757993,13,HTTP Request M 2,200,OK,Thread Group 2-3,bin,true,,1046520,122,4,12,http://192.168.52.128/24.jpg,6,0,0
1703672758016,2,HTTP Request S 11,200,OK,Thread Group 1-2,text,true,,194661,123,4,12,http://192.168.52.128/11.xlsx,1,0,0
1703672758018,13,HTTP Request M 8,200,OK,Thread Group 2-1,,true,,944399,122,4,12,http://192.168.52.128/30.jmp,2,0,0
1703672756970,1071,HTTP Request L 2,200,OK,Thread Group 3-3,text,true,,34622168,122,4,12,http://192.168.52.128/35.pdf,8,0,2
1703672758038,4,HTTP Request S 7,200,OK,Thread Group 1-1,text,true,,103954,122,4,12,http://192.168.52.128/7.html,4,0,0
1703672758040,12,HTTP Request M 5,200,OK,Thread Group 2-2,bin,true,,830181,122,4,12,http://192.168.52.128/27.jpg,3,0,0
1703672758119,4,HTTP Request S 7,200,OK,Thread Group 1-4,text,true,,103954,122,4,12,http://192.168.52.128/7.html,1,0,0
1703672758131,30,HTTP Request M 4,200,OK,Thread Group 2-4,text,true,,899172,122,4,12,http://192.168.52.128/26.csv,17,0,0
1703672758153,14,HTTP Request S 3,200,OK,Thread Group 1-3,bin,true,,42122,121,4,12,http://192.168.52.128/3.jpg,14,0,0
1703672758165,9,HTTP Request M 6,200,OK,Thread Group 2-3,bin,true,,855007,122,4,12,http://192.168.52.128/28.bmp,6,0,0
1703672758185,1,HTTP Request S 8,200,OK,Thread Group 1-2,text,true,,119483,122,4,12,http://192.168.52.128/8.html,1,0,0
1703672758189,13,HTTP Request M 1,200,OK,Thread Group 2-1,text,true,,1072802,122,4,12,http://192.168.52.128/23.csv,2,0,0
1703672758210,13,HTTP Request S 11,200,OK,Thread Group 1-1,text,true,,194661,123,4,12,http://192.168.52.128/11.xlsx,10,0,0
1703672758211,24,HTTP Request M 10,200,OK,Thread Group 2-2,text,true,,974938,122,4,12,http://192.168.52.128/32.pdf,9,0,0
1703672758291,2,HTTP Request S 4,200,OK,Thread Group 1-4,text,true,,50098,121,4,12,http://192.168.52.128/4.csv,1,0,0
1703672758303,17,HTTP Request M 2,200,OK,Thread Group 2-4,bin,true,,1046520,122,4,12,http://192.168.52.128/24.jpg,1,0,0
1703672758325,18,HTTP Request S 4,200,OK,Thread Group 1-3,text,true,,50098,121,4,12,http://192.168.52.128/4.csv,18,0,0
1703672758335,15,HTTP Request M 8,200,OK,Thread Group 2-3,,true,,944399,122,4,12,http://192.168.52.128/30.jmp,9,0,0
1703672758356,4,HTTP Request S 10,200,OK,Thread Group 1-2,bin,true,,169788,122,4,12,http://192.168.52.128/10.mp4,4,0,0
1703672758360,6,HTTP Request M 1,200,OK,Thread Group 2-1,text,true,,1072802,122,4,12,http://192.168.52.128/23.csv,2,0,0
1703672758380,3,HTTP Request S 5,200,OK,Thread Group 1-1,text,true,,72134,122,4,12,http://192.168.52.128/5.html,2,0,0
1703672758381,8,HTTP Request M 5,200,OK,Thread Group 2-2,bin,true,,830181,122,4,12,http://192.168.52.128/27.jpg,1,0,0
1703672758474,7,HTTP Request M 4,200,OK,Thread Group 2-4,text,true,,899172,122,4,12,http://192.168.52.128/26.csv,1,0,0
1703672758461,21,HTTP Request S 1,200,OK,Thread Group 1-4,text,true,,19766,121,4,12,http://192.168.52.128/1.txt,21,0,0
1703672758494,2,HTTP Request S 5,200,OK,Thread Group 1-3,text,true,,72134,122,4,12,http://192.168.52.128/5.html,1,0,0
1703672758507,12,HTTP Request M 10,200,OK,Thread Group 2-3,text,true,,974938,122,4,12,http://192.168.52.128/32.pdf,1,0,0
1703672758528,2,HTTP Request S 9,200,OK,Thread Group 1-2,bin,true,,148144,121,4,12,http://192.168.52.128/9.jpg,1,0,0
1703672758531,14,HTTP Request M 4,200,OK,Thread Group 2-1,text,true,,899172,122,4,12,http://192.168.52.128/26.csv,2,0,0
1703672758551,3,HTTP Request S 5,200,OK,Thread Group 1-1,text,true,,72134,122,4,12,http://192.168.52.128/5.html,3,0,0
1703672758552,19,HTTP Request M 11,200,OK,Thread Group 2-2,bin,true,,990223,122,4,12,http://192.168.52.128/33.bmp,4,0,0
1703672758631,5,HTTP Request S 6,200,OK,Thread Group 1-4,bin,true,,79574,121,4,12,http://192.168.52.128/6.jpg,2,0,0
1703672758644,10,HTTP Request M 11,200,OK,Thread Group 2-4,bin,true,,990223,122,4,12,http://192.168.52.128/33.bmp,2,0,0
1703672758667,4,HTTP Request S 10,200,OK,Thread Group 1-3,bin,true,,169788,122,4,12,http://192.168.52.128/10.mp4,2,0,0
1703672758698,3,HTTP Request S 11,200,OK,Thread Group 1-2,text,true,,194661,123,4,12,http://192.168.52.128/11.xlsx,2,0,0
1703672758677,24,HTTP Request M 11,200,OK,Thread Group 2-3,bin,true,,990223,122,4,12,http://192.168.52.128/33.bmp,1,0,0
1703672758700,10,HTTP Request M 3,200,OK,Thread Group 2-1,text,true,,1188300,122,4,12,http://192.168.52.128/25.pdf,2,0,0
1703672758722,4,HTTP Request S 6,200,OK,Thread Group 1-1,bin,true,,79574,121,4,12,http://192.168.52.128/6.jpg,4,0,0
1703672758723,16,HTTP Request M 9,200,OK,Thread Group 2-2,bin,true,,966151,122,4,12,http://192.168.52.128/31.bmp,4,0,0
1703672758802,4,HTTP Request S 3,200,OK,Thread Group 1-4,bin,true,,42122,121,4,12,http://192.168.52.128/3.jpg,4,0,0
1703672758815,11,HTTP Request M 5,200,OK,Thread Group 2-4,bin,true,,830181,122,4,12,http://192.168.52.128/27.jpg,3,0,0
1703672758837,9,HTTP Request S 3,200,OK,Thread Group 1-3,bin,true,,42122,121,4,12,http://192.168.52.128/3.jpg,9,0,0
1703672757101,1758,HTTP Request L 4,200,OK,Thread Group 3-2,text,true,,49283389,122,4,12,http://192.168.52.128/37.txt,15,0,0
1703672758870,2,HTTP Request S 4,200,OK,Thread Group 1-2,text,true,,50098,121,4,12,http://192.168.52.128/4.csv,2,0,0
1703672758872,4,HTTP Request M 5,200,OK,Thread Group 2-1,bin,true,,830181,122,4,12,http://192.168.52.128/27.jpg,2,0,0
1703672758849,43,HTTP Request M 1,200,OK,Thread Group 2-3,text,true,,1072802,122,4,12,http://192.168.52.128/23.csv,14,0,0
1703672758894,2,HTTP Request S 11,200,OK,Thread Group 1-1,text,true,,194661,123,4,12,http://192.168.52.128/11.xlsx,1,0,0
1703672758895,18,HTTP Request M 1,200,OK,Thread Group 2-2,text,true,,1072802,122,4,12,http://192.168.52.128/23.csv,2,0,0
1703672758948,32,HTTP Request S 10,200,OK,Thread Group 1-5,bin,true,,169789,122,5,15,http://192.168.52.128/10.mp4,24,0,5
1703672758973,7,HTTP Request S 3,200,OK,Thread Group 1-4,bin,true,,42122,121,5,15,http://192.168.52.128/3.jpg,7,0,0
1703672758961,45,HTTP Request M 6,200,OK,Thread Group 2-5,bin,true,,855008,122,5,15,http://192.168.52.128/28.bmp,11,0,5
1703672758986,21,HTTP Request M 4,200,OK,Thread Group 2-4,text,true,,899172,122,5,15,http://192.168.52.128/26.csv,6,0,0
1703672757967,1073,HTTP Request L 1,200,OK,Thread Group 3-4,text,true,,24636579,122,5,15,http://192.168.52.128/34.pdf,9,0,1
1703672759021,37,HTTP Request M 10,200,OK,Thread Group 2-3,text,true,,974938,122,5,15,http://192.168.52.128/32.pdf,20,0,0
1703672759040,32,HTTP Request S 3,200,OK,Thread Group 1-2,bin,true,,42122,121,5,15,http://192.168.52.128/3.jpg,32,0,0
1703672759008,75,HTTP Request S 9,200,OK,Thread Group 1-3,bin,true,,148144,121,5,15,http://192.168.52.128/9.jpg,39,0,0
1703672759065,42,HTTP Request S 2,200,OK,Thread Group 1-1,bin,true,,43731,121,5,15,http://192.168.52.128/2.mp4,42,0,0
1703672759044,104,HTTP Request M 3,200,OK,Thread Group 2-1,text,true,,1188300,122,5,15,http://192.168.52.128/25.pdf,50,0,0
