T;Allocated Heap
97320;7782288
97380;6291072
97440;6702112
97500;6727520
97560;6818208
97620;6305704
97680;6905272
97740;7138920
97800;6452528
97860;7147456
97920;7208760
97980;6907552
98040;7213856
98100;7299104
98160;6318296
98220;5791824
98280;7045520
98340;6021376
98400;6817784
98460;6823504
98520;6052880
98580;5932144
98640;6663560
98700;6132824
98760;6325144
98820;7263480
98880;6334240
98940;6309600
99000;6401416
99060;6435200
99120;6797536
99180;6492376
99240;7323032
99300;6432616
99360;6437928
99420;6338520
99480;6854128
99540;7633336
99600;6792272
99660;7423864
99720;6890792
99780;6599480
99840;7136592
99900;7046928
99960;6829224
100020;7277608
100080;8251216
100140;6392144
100200;6832984
100260;7127456
100320;6861840
100380;7190808
100440;6527240
100500;6493536
100560;7233672
100620;6507712
100680;6775480
100740;7096384
100800;6697864
100860;5719224
100920;6313520
100980;6899072
101040;6335600
101100;6173016
101160;6300128
101220;5909848
101280;6844064
101340;5984672
101400;5456728
101460;7347368
101520;6264008
101580;7090848
101640;6610920
101700;6480616
101760;7195976
101820;6179272
101880;6432152
101940;6767448
102000;7280792
102060;7140744
102120;8311464
102180;6042104
102240;6783416
102300;6609480
102360;5438576
102420;8214048
102480;5912424
102540;6341576
102600;7770664
102660;6488464
102720;6601888
102780;6585208
102840;6602064
102900;7559896
102960;6441120
103020;6667160
103080;6672224
103140;6961480
103200;6984440
103260;5652168
103320;6702184
103380;6818296
103440;6284400
103500;6956000
103560;6342664
103620;6015720
103680;6594528
103740;6513176
103800;6633280
103860;6796664
103920;6566256
103980;8215144
104040;6810480
104100;5918920
104160;6183592
104220;6492864
104280;5864168
104340;3976752
104400;6028000
104460;7713136
104520;5757032
104580;5203128
104640;6877144
104700;8040928
104760;5448680
104820;7043960
104880;6255136
104940;6247872
105000;6037384
105060;6885008
105120;6575160
105180;6354224
105240;5927176
105300;6756312
105360;6298608
105420;6292992
105480;5983272
105540;6416344
105600;6905656
105660;6517688
105720;6530472
105780;7394608
105840;6399048
105900;6175752
105960;6016680
106020;7204328
106080;6076344
106140;6694344
106200;6142848
106260;7085184
106320;5365824
106380;7142672
106440;5736456
106500;7847824
106560;6889984
106620;7018392
106680;6711112
106740;6591976
106800;6131976
106860;6788000
106920;6625984
106980;5723552
107040;6250672
107100;7057560
107160;6005992
107220;7848000
107280;6636488
107340;6215672
107400;6765048
107460;6770192
107520;5867624
107580;6838816
107640;6453512
107700;6930616
107760;5524184
107820;6440928
107880;6400376
107940;5658832
108000;6767112
108060;6224224
108120;6198144
108180;6498816
108240;5926160
108300;6939792
108360;6965496
108420;5727240
108480;7038136
108540;6082296
108600;6557696
108660;6748088
108720;6309536
108780;6354184
108840;6094136
108900;5965520
108960;6150920
109020;6756584
109080;5572936
109140;6318904
109200;6425504
109260;6244376
109320;6883136
109380;7096552
109440;6394720
109500;6477768
109560;6528056
109620;5873392
109680;5741136
109740;6653184
109800;6530000
109860;6141360
109920;7277008
109980;6422656
110040;6729176
110100;7392112
110160;6251696
110220;6501600
110280;6612440
110340;6711832
110400;5512040
110460;5764392
110520;6717352
110580;6135704
110640;6662984
110700;6057088
110760;5617040
110820;7832608
110880;7152936
110940;6848088
111000;6098856
111060;5973312
111120;5895016
111180;5302416
111240;6940200
111300;6866112
111360;6162360
111420;6639464
111480;6023672
111540;7208584
111600;6868192
111660;6731432
111720;6580872
111780;6509936
111840;6283696
111900;6774240
111960;6875704
112020;5952928
112080;6733704
112140;5781896
112200;7044248
112260;5506704
112320;6815240
112380;6328072
112440;6466616
112500;5803848
112560;6416632
112620;5843992
112680;6750672
112740;6131864
112800;5915392
112860;6127520
112920;7587840
112980;5608336
113040;5915504
113100;6589872
113160;7209976
113220;6391560
113280;6345896
113340;7560072
113400;6561368
113460;6643912
113520;6136800
113580;7686848
113640;5817088
113700;6753912
113760;6252744
113820;6821304
113880;6875424
113940;5582072
114000;5387376
114060;6408808
114120;6961704
114180;5898384
114240;5963664
114300;6798096
114360;6344640
114420;5552712
114480;6283920
114540;6218104
114600;5973912
114660;6592072
114720;6412512
114780;6970768
114840;6001760
114900;7437312
114960;6190352
115020;6543216
115080;7069984
115140;7864920
115200;6825744
115260;7557224
115320;6684032
115380;6160152
115440;5512008
115500;5621808
115560;6359784
115620;6460072
115680;5615456
115740;6316752
115800;7106040
115860;7430048
115920;7441520
115980;6811128
116040;6397984
116100;7682904
116160;6409440
116220;6711712
116280;6392992
116340;6166856
116400;6676040
116460;5919200
116520;6914184
116580;6965608
116640;7404680
116700;7589528
116760;7277296
116820;6461152
116880;5806032
116940;6400000
117000;6546568
117060;5846368
117120;6554512
117180;5842200
117240;7158696
117300;6125624
117360;6385920
117420;6293144
117480;7014888
117540;6205888
117600;5750520
117660;6054408
117720;6585176
117780;7111120
117840;5823160
117900;7397032
117960;6688336
118020;6258920
118080;7681168
118140;6674400
118200;5754912
118260;6085000
118320;7073056
118380;6850480
118440;7686056
118500;6901688
118560;6347968
118620;6278312
118680;5682632
118740;7318000
118800;5874096
118860;6549168
118920;5888064
118980;6406800
119040;6644664
119100;6172440
119160;6337232
119220;7132216
119280;5757200
119340;6861464
119400;6877600
119460;6340896
119520;6667336
119580;6541416
119640;6099728
119700;5196728
119760;6323064
119820;5764712
