T;allocated heap
37260;5309104
37320;5469312
37380;5858904
37440;5752200
37500;5828832
37560;7188424
37620;5677312
37680;5454568
37740;6029520
37800;5801640
37860;5771024
37920;5617488
37980;5588376
38040;5307400
38100;6069160
38160;5899624
38220;5710200
38280;5395680
38340;5682904
38400;6269040
38460;5884464
38520;5987584
38580;5677432
38640;6178440
38700;5870320
38760;5310000
38820;6101104
38880;6061352
38940;5456224
39000;7499152
39060;5949040
39120;5725104
39180;5838088
39240;5781904
39300;5840304
39360;6040328
39420;5712800
39480;6069144
39540;5870192
39600;5650168
39660;6862944
39720;5958656
39780;4712528
39840;6231368
39900;5321456
39960;5401136
40020;5931424
40080;6009384
40140;5436800
40200;5883072
40260;5558336
40320;5823696
40380;5531760
40440;5776272
40500;5727648
40560;5323032
40620;5971248
40680;7170304
40740;6127744
40800;5377896
40860;6024072
40920;6185960
40980;5627848
41040;5910912
41100;5870144
41160;6112296
41220;6579384
41280;5579448
41340;5935032
41400;5898544
41460;5802256
41520;5319992
41580;5534672
41640;5352680
41700;5656360
41760;5531648
41820;5685648
41880;5900808
41940;5503656
42000;6081376
42060;5807296
42120;5460056
42180;5061424
42240;5739504
42300;6185096
42360;6008448
42420;5650632
42480;5858992
42540;5238648
42600;5965472
42660;6404168
42720;5862736
42780;5641240
42840;5592280
42900;5517752
42960;5244856
43020;5076760
43080;5688168
43140;5754424
43200;5339560
43260;5947856
43320;6088144
43380;5543592
43440;5280032
43500;5429088
43560;5688088
43620;5682808
43680;5813456
43740;6892608
43800;6357640
43860;6057128
43920;5591912
43980;5777232
44040;4969040
44100;5289808
44160;5661096
44220;5587456
44280;5720656
44340;5194856
44400;5067352
44460;6033032
44520;5394776
44580;5070104
44640;5337432
44700;5740128
44760;6056688
44820;5868864
44880;5868536
44940;5939824
45000;6147344
45060;6899232
45120;5800320
45180;4975152
45240;6027728
45300;5246008
45360;5877080
45420;5795624
45480;7022600
45540;5781040
45600;5815920
45660;5859672
45720;5773504
45780;5415056
45840;5593504
45900;5763232
45960;5737920
46020;6214224
