TIME;LIN2_VmSize;LIN2_VmData;LIN2_RSS;LIN2_byte_letti__sec;LIN2_byte_scritti__sec;;;;;;
22200;735284;666908;42972;83269166;65094385;;;;;;
22320;735284;666908;42972;90709963;67051259;;;;;;
22440;735284;666908;42972;82147511;68009907;;;;;;
22560;735284;666908;42972;83555996;67686513;;;;;;
22680;735284;666908;42972;85344643;67489668;;;;;;
22800;735284;666908;42972;85188401;64847778;;;;;;
22920;735284;666908;42972;81538266;62366283;;;;;;
23040;735284;666908;42972;81303599;63674672;;;;;;
23160;735284;666908;42972;82423182;67680458;;;;;;
23280;735284;666908;42972;83365201;61919108;;;;;;
23400;735284;666908;42972;79514205;66069133;;;;;;
23520;735284;666908;42972;84079007;67118239;;;;;;
23640;735284;666908;42972;78953089;64329086;;;;;;
23760;735284;666908;42972;82113695;66284585;;;;;;
23880;735284;666908;42972;83073384;65489005;;;;;;
24000;735284;666908;42972;85462690;67221784;;;;;;
24120;735284;666908;42972;83987321;64418447;;;;;;
24240;735284;666908;42972;86571721;65426478;;;;;;
24360;735284;666908;42972;81019260;68682009;;;;;;
24480;735284;666908;42972;85769824;65504097;;;;;;
24600;735284;666908;42972;79621397;62925115;;;;;;
24720;735284;666908;42972;84438159;66700839;;;;;;
24840;735284;666908;42972;79344449;64688525;;;;;;
24960;735284;666908;42972;76841020;61334493;;;;;;
25080;735284;666908;42972;85442670;65865506;;;;;;
25200;735284;666908;42972;84256947;68105725;;;;;;
25320;735284;666908;42972;86275417;66218483;;;;;;
25440;735284;666908;42972;86759779;67282237;;;;;;
25560;735284;666908;42972;84428079;66865442;;;;;;
25680;735284;666908;42972;80963227;64217063;;;;;;
25800;735284;666908;42972;82305588;64558113;;;;;;
25920;735284;666908;42972;88315441;67985227;;;;;;
26040;735284;666908;42972;89790154;67007846;;;;;;
26160;735284;666908;42972;82590532;65735566;;;;;;
26280;735284;666908;42972;83962872;65441280;;;;;;
26400;735284;666908;42972;82209901;64648930;;;;;;
26520;735284;666908;42972;87459058;66735556;;;;;;
26640;735284;666908;42972;90771183;65445651;;;;;;
26760;735284;666908;42972;86713088;65463493;;;;;;
26880;735284;666908;42972;74071505;62261857;;;;;;
27000;735284;666908;42972;82673347;67041155;;;;;;
27120;735284;666908;42972;83060764;68207898;;;;;;
27240;735284;666908;42972;81274430;65365887;;;;;;
