procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 2219104  34508 679588    0    0     0     0 1278 1080  2 56 42  0  0
 1  0      0 2241176  34508 679604    0    0     0     0 1221 1110  1 48 52  0  0
 4  0      0 2226784  34516 679624    0    0     0    96 1218 1077  1 59 41  0  0
 4  0      0 2226784  34516 679624    0    0     0     0 12552  518  1 51 49  0  0
 4  0      0 2226784  34516 679624    0    0     0     4 12026  528  0 51 49  0  0
 5  0      0 2226784  34516 679624    0    0     0     0 12515  523  0 51 49  0  0
 4  0      0 2226784  34516 679624    0    0     0     0 12699  511  0 51 49  0  0
 5  0      0 2226784  34524 679624    0    0     0    48 11731  540  1 51 49  0  0
 5  0      0 2226784  34524 679624    0    0     0     0 12581  522  0 51 49  0  0
 5  0      0 2226784  34524 679624    0    0     0     0 12400  528  0 51 49  0  0
 5  0      0 2226784  34524 679624    0    0     0     4 12579  483  0 55 45  0  0
 6  0      0 2226784  34524 679624    0    0     0     0 12269  522  0 51 49  0  0
 6  0      0 2226784  34524 679624    0    0     0     4 12185  531  0 51 49  0  0
 7  0      0 2226784  34532 679624    0    0     0    16 12304  539  0 51 49  0  0
 3  0      0 2220904  34532 679628    0    0     0     0 4563  677  1 40 59  0  0
 4  0      0 2226088  34532 679636    0    0     0     0 1138  898  1 46 53  0  0
 1  0      0 2229044  34532 679652    0    0     0     4 1279 1024  2 46 53  0  0
 5  0      0 2238524  34532 679668    0    0     0     0 1404 1116  1 56 44  0  0
 5  0      0 2208424  34540 679684    0    0     0    16 1324 1123  2 49 49  0  0
 4  0      0 2232952  34540 679696    0    0     0    68 1331 1049  1 54 45  0  0
 2  0      0 2215636  34540 679712    0    0     0     0 1886 1071  2 50 48  0  0
 1  0      0 2206360  34540 679724    0    0     0     0 1258  985  2 59 39  0  0
 2  0      0 2213464  34540 679740    0    0     0     4 1331 1116  1 48 51  0  0
 1  0      0 2206280  34548 679760    0    0     0    28 1437 1080  0 56 43  0  0
21  0      0 2216756  34548 679764    0    0     0    80 20682  693  0 84 16  0  0
 6  0      0 2216756  34548 679764    0    0     0     0 11983  525  1 51 49  0  0
 7  0      0 2216756  34548 679764    0    0     0    20 11493  525  0 51 49  0  0
 5  0      0 2216756  34556 679764    0    0     0    32 11296  536  0 51 49  0  0
 5  0      0 2216756  34556 679764    0    0     0     0 11665  530  0 51 49  0  0
 7  0      0 2216756  34556 679764    0    0     0     0 11635  530  1 50 49  0  0
 7  0      0 2216756  34556 679768    0    0     0     0 11814  390  1 68 32  0  0
 7  0      0 2216756  34556 679772    0    0     0     0 10586  524  2 50 48  0  0
 7  0      0 2216756  34564 679772    0    0     0    20 10171  540  1 51 48  0  0
 9  0      0 2216756  34564 679772    0    0     0     0 11062  525  2 51 48  0  0
10  0      0 2202912  34580 680592    0    0   672     0 10536  617 27 56 16  0  0
 4  0      0 2200028  34580 680592    0    0     0     0 10793  547  1 52 47  0  0
 2  0      0 2188140  34592 680640    0    0    16     0 1427  975 27 50 23  0  0
 3  0      0 2159412  34608 681164    0    0   568    48 1301  978  7 44 49  1  0
 3  0      0 2168828  34608 681168    0    0     0     4 1211  970  1 34 65  0  0
 3  0      0 2158240  34608 681184    0    0     0   108 1409 1123  1 56 43  0  0
 5  0      0 2156420  34608 681192    0    0     0     0 10684  353  0 59 41  0  0
 7  0      0 2156420  34608 681196    0    0     0    52 11724  556  0 51 49  0  0
 7  0      0 2156420  34616 681188    0    0     0    48 12392  566  1 51 48  0  0
 7  0      0 2156676  34616 681188    0    0     0     0 12288  528  0 51 49  0  0
22  0      0 2156676  34616 681188    0    0     0     4 13364  482  0 56 44  0  0
10  0      0 2219828  34616 681180    0    0     0     0 10797  880  7 53 40  0  0
10  0      0 2219576  34616 681180    0    0     0     0 11974  659  0 51 49  0  0
12  0      0 2219832  34624 681180    0    0     0    28 11774  539  0 51 49  0  0
12  0      0 2219832  34624 681180    0    0     0     0 12091  525  0 51 49  0  0
12  0      0 2219848  34624 681180    0    0     0     0 11883  543  1 51 49  0  0
 3  0      0 2243160  34624 681176    0    0     0    52 2697 1072  1 41 58  0  0
 4  0      0 2245688  34624 681184    0    0     0     0 1437 1111  1 40 59  0  0
 5  0      0 2238044  34632 681196    0    0     0    20 9871  630  0 50 50  0  0
 4  0      0 2238044  34632 681196    0    0     0     0 11779  538  0 51 49  0  0
 3  0      0 2238044  34632 681196    0    0     0     0 11356  523  1 51 49  0  0
 4  0      0 2238044  34632 681196    0    0     0    36 11829  532  0 51 49  0  0
 4  0      0 2238044  34632 681196    0    0     0     4 12213  526  0 51 49  0  0
 6  0      0 2238044  34640 681188    0    0     0    28 12030  545  0 51 49  0  0
 5  0      0 2238044  34640 681196    0    0     0    56 11347  522  0 51 49  0  0
 5  0      0 2238044  34640 681196    0    0     0     0 11590  525  0 51 49  0  0
 6  0      0 2238044  34640 681196    0    0     0     0 12769  514  0 51 49  0  0
 7  0      0 2238044  34640 681196    0    0     0     0 11375  529  1 51 49  0  0
 7  0      0 2238044  34640 681196    0    0     0     4 12048  520  0 51 49  0  0
 8  0      0 2238044  34648 681196    0    0     0    12 11981  538  0 51 49  0  0
 9  0      0 2238044  34648 681196    0    0     0     0 11393  517  0 51 49  0  0
10  0      0 2238044  34648 681196    0    0     0     0 10908  535  1 51 49  0  0
 9  0      0 2238044  34648 681196    0    0     0     0 11963  902  1 52 48  0  0
 9  0      0 2238044  34648 681196    0    0     0     0 12315  612  0 51 49  0  0
