Tempo privilegiato,Tempo processore,Tempo utente,Altre operazioni IO,Altri byte IO,Byte dati IO,Byte del file di paging,Byte del pool di paging,Byte del pool non-paging,Byte letti IO,Byte massimi file di paging,Byte privati,Byte scritti IO,Byte virtuali,Conteggio degli handle,Conteggio thread,Creazione ID processo,Errori di pagina,ID processo,Massimo valore byte virtuali,Max working set,Operazioni dati IO,Operazioni lettura IO,Operazioni scrittura IO,Priorità base,Tempo trascorso,Working set,Working set - Privato,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Principale9
"2,0918947613","313,78421419","311,69231943",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"260,9896098",4718301184,4713660416,"64,905396214","-26,74638935","-196,6519492","36,043988221","63,709660688","55,107047193","-33,7882964","-76,10780917","-8,341305312"
"3,6448420578","349,90483755","346,25999549",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"263,9904257",4718301184,4713660416,"63,98426814","-26,77099132","-194,1627317","33,695351525","63,634696309","54,979245676","-32,90251012","-71,45353815","-8,627769931"
"2,6023862008","418,98417832","416,38179212",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"266,9924782",4718301184,4713660416,"61,802592383","-26,91271194","-187,3843618","26,572022024","63,664858376","54,264993135","-32,16752594","-68,11315494","-8,929892833"
"1,0405730937","336,10510927","335,06453618",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"269,995631",4718301184,4713660416,"64,125657333","-26,80786335","-194,1025605","33,273574237","63,750106425","54,792165749","-33,72155011","-76,01865046","-8,395315818"
"5,7271335343","262,92749407","257,20036054",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"272,996696",4718301184,4713660416,"66,811787218","-26,5726978","-203,0846488","43,168984236","63,563141653","55,968072576","-33,64388947","-74,59260901","-8,294719078"
"2,0829185548","305,66829792","303,58537936",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"275,9972934",4718301184,4713660416,"65,147956114","-26,73070791","-197,3824819","36,794466926","63,711439137","55,174792036","-33,90600383","-76,68242385","-8,298023021"
"4,6841296126","276,88410599","272,19997638",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"278,999452",4718301184,4713660416,"66,283866776","-26,62014712","-201,2966615","41,183781431","63,605094576","55,725997119","-33,69432897","-75,0713165","-8,304883389"
"2,6011052525","274,67671466","272,07560941",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"282,0029829",4718301184,4713660416,"66,132026085","-26,66492502","-200,4490379","40,023286525","63,695551306","55,500777545","-34,22364441","-78,1110493","-8,165697065"
"1,5677851606","270,18164267","268,61385751",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"284,9928696",4718301184,4713660416,"66,158712949","-26,68114078","-200,3364143","39,764535749","63,741118858","55,418115875","-34,53465317","-79,85448075","-8,078667325"
"4,1591721158","300,50018537","296,34101325",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"287,9982754",4718301184,4713660416,"65,520373464","-26,67145804","-198,8947129","38,637866036","63,622506583","55,461669726","-33,48332043","-74,16296116","-8,397983885"
"3,6436575839","282,1232015","278,47954392",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"291,0000668",4718301184,4713660416,"66,017758658","-26,65186373","-200,2993034","40,012804851","63,648669252","55,558623801","-33,86833274","-76,15036974","-8,269129772"
"1,5699602417","240,72723707","239,15727683",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"293,9858112",4718301184,4713660416,"67,042644176","-26,62968964","-203,0043569","42,51157566","63,747138948","55,670336994","-34,9537182","-81,89175618","-7,92293868"
"0,5205448994","263,916264","263,3957191",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"296,9874735",4718301184,4713660416,"66,237057682","-26,69342601","-200,3772246","39,661563976","63,787456873","55,348541478","-34,87417297","-81,73982519","-7,981561832"
"0,520488423","241,50662827","240,98613985",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"299,9894615",4718301184,4713660416,"66,909394376","-26,65485099","-202,4061333","41,75050753","63,792201287","55,540430443","-35,19343267","-83,29220923","-7,862909354"
"3,1232873974","267,56162038","264,43833298",0,0,0,4762251264,341504,19352,0,4762353664,4762251264,0,9282781184,291,21,16052,"25,320088395",22912,9294405632,4718608384,0,0,0,8,"302,9911065",4718608384,4713730048,"66,776652604","-25,57590261","-198,8985286","43,152165675","66,764394029","55,855008295","-37,53292005","-77,47700426","-10,18224255"
"2,6035056366","257,74705802","255,14355239",0,0,0,4762251264,341504,19352,0,4762353664,4762251264,0,9282781184,291,21,16052,0,22912,9294405632,4718608384,0,0,0,8,"305,9918682",4718608384,4713730048,"66,379602429","-25,55413772","-200,1721774","43,3867022","67,451055266","55,27286561","-35,46267107","-79,12417906","-7,581637911"
"1,5617445321","237,90575039","236,34400586",0,0,0,4762251264,341504,19352,0,4762353664,4762251264,0,9282781184,291,21,16052,0,22912,9294405632,4718608384,0,0,0,8,"308,9933194",4718608384,4713730048,"66,865828947","-25,54441673","-201,4447","44,552986792","67,500283082","55,320729284","-35,9943272","-81,94233754","-7,412804976"
"2,0809004832","268,43616233","266,35526185",0,0,0,4762251264,341504,19352,0,4762353664,4762251264,0,9282781184,291,21,16052,0,22912,9294405632,4718608384,0,0,0,8,"311,9968268",4718608384,4713730048,"66,004194587","-25,58379292","-198,9417196","42,047418118","67,471211974","55,119746493","-35,43527641","-79,10801346","-7,60635926"
0,"281,59846691","281,59846691",0,0,0,4762251264,341504,19352,0,4762353664,4762251264,0,9282781184,291,21,16052,0,22912,9294405632,4718608384,0,0,0,8,"314,9986631",4718608384,4713730048,"65,391449049","-25,65469462","-196,7036493","39,455557428","67,558276272","54,763060099","-35,74512012","-81,08014896","-7,54871376"
"2,6011661348","299,65433873","297,0531726",0,0,0,4762251264,341504,19352,0,4762353664,4762251264,0,9282781184,291,21,16052,0,22912,9294405632,4718608384,0,0,0,8,"318,0021237",4718608384,4713730048,"65,122042428","-25,6238999","-196,3770821","39,478424583","67,441874687","54,912848487","-34,8661499","-76,22450781","-7,80367568"
"1,0465767162","263,21404413","262,16746741",0,0,0,4762251264,341504,19352,0,4762353664,4762251264,0,9282781184,291,21,16052,0,22912,9294405632,4718608384,0,0,0,8,"320,9880491",4718608384,4713730048,"66,052590658","-25,59796577","-198,8945201","41,855705152","67,516838088","55,042895696","-35,75685841","-80,90319327","-7,5155194"
"3,1206529305","266,81582556","263,69517262",0,0,0,4762251264,341504,19352,0,4762353664,4762251264,0,9282781184,291,21,16052,0,22912,9294405632,4718608384,0,0,0,8,"323,9922281",4718608384,4713730048,"66,161660762","-25,55494342","-199,6115058","42,880267404","67,426327646","55,254814936","-35,20979205","-77,77926772","-7,661646174"
"2,0815872979","302,87095185","300,78936455",0,0,0,4762251264,341504,19352,0,4762353664,4762251264,0,9282781184,291,21,16052,0,22912,9294405632,4718608384,0,0,0,8,"326,9947445",4718608384,4713730048,"64,971144383","-25,64034648","-195,8247297","38,837669698","67,463435109","54,823971362","-34,9444764","-76,7217627","-7,78905272"
"1,0409260825","310,19597257","309,15504649",0,0,0,4762251264,341504,19352,0,4762353664,4762251264,0,9282781184,291,21,16052,0,22912,9294405632,4718608384,0,0,0,8,"329,9968789",4718608384,4713730048,"64,642432011","-25,67686182","-194,6382676","37,472238021","67,506781371","54,639153026","-35,08884505","-77,65659409","-7,764182814"
"3,1245217399","350,46718849","347,34266675",0,0,0,4762251264,341504,19352,0,4762353664,4762251264,0,9282781184,291,21,16052,0,22912,9294405632,4718608384,0,0,0,8,"332,9973381",4718608384,4713730048,"63,652329016","-25,69606164","-192,0401269","35,084729392","67,407984685","54,537936662","-34,01709297","-71,97939584","-8,105124502"
"5,2064701112","351,95737952","346,75090941",0,0,0,4762255360,341504,19352,0,4762353664,4762255360,0,9282781184,291,21,16052,"128,27950725",22912,9294405632,4719452160,0,0,0,8,"335,9984117",4719452160,4713910272,"67,053401104","-25,73876035","-189,6758717","38,031157671","63,964415628","57,845060949","-45,32352986","-67,74003033","-20,99013666"
"2,6021896964","280,51604927","277,91385958",0,0,0,4762255360,341504,19352,0,4762353664,4762255360,0,9282781184,291,21,16052,"1,3323114061",22912,9294405632,4719468544,0,0,0,8,"339,0006909",4719468544,4713910272,"65,729970456","-25,59347589","-198,0751959","41,281021261","67,412138485","55,117875606","-35,26029328","-77,53621037","-7,833622616"
"3,663384609","224,51314247","220,84975786",0,0,0,4762263552,341504,19352,0,4762353664,4762263552,0,9282781184,291,21,16052,"69,336141615",22912,9294405632,4719579136,0,0,0,8,"341,9863179",4719579136,4714020864,"69,232412961","-25,51735446","-201,9428513","48,108889858","65,599397229","57,35098946","-42,07518796","-79,28129107","-14,35939626"
"2,0819820576","198,8292865","196,74730444",0,0,0,4762263552,341504,19352,0,4762353664,4762263552,0,9282781184,291,21,16052,0,22912,9294405632,4719579136,0,0,0,8,"344,988265",4719579136,4714020864,"68,092822333","-25,46421789","-205,2430879","48,53641754","67,486438688","55,728393339","-36,4268611","-83,92833615","-7,234489355"
"1,0408152798","260,20381994","259,16300466",0,0,0,4762263552,341504,19352,0,4762353664,4762263552,0,9282781184,291,21,16052,"66,613358217",22912,9294405632,4719665152,0,0,0,8,"347,990719",4719665152,4714106880,"67,818562373","-25,63796189","-197,4620638","43,025205989","65,776498122","56,674099365","-41,94221127","-80,47023931","-14,11724258"
"3,1228393075","274,28938584","271,16654653",0,0,0,4762259456,341504,19352,0,4762353664,4762259456,0,9282781184,291,21,16052,"68,619438195",22912,9294405632,4719771648,0,0,0,8,"350,9927947",4719771648,4714209280,"67,664411463","-25,61583086","-197,1823243","43,104863817","65,631748137","56,84613755","-41,42759144","-76,5898241","-14,51978939"
"3,1235328766","276,43265958","273,3091267",0,0,0,4762267648,341504,19352,0,4762353664,4762267648,0,9282781184,291,21,16052,"66,97086321",22912,9294405632,4719869952,0,0,0,8,"353,9942038",4719869952,4714303488,"67,558735638","-25,61714988","-197,0305758","42,883086113","65,673813145","56,791593759","-41,24627838","-76,45623224","-14,36511008"
